name,country,url,sale_type_hint,keywords_extra,image,hero_image
SINOON,KR,https://sinoon.co.kr/product/list.html?cate_no=655,,,,https://www.facebook.com/tr?id=3575441472720341&ev=PageView&noscript=1
ASURA,KR,https://s2asuras2.com/59,members_only,MEMBERS ONLY|회원|회원공개|UP TO|SALE|%|EVENT,,https://cdn.imweb.me/upload/S20240925218c9168e60c3/5ff044245821c.png
PLZ PROJECT,KR,https://plzproject.kr/product/list.html?cate_no=309,season_off,,,https://plzproject.kr/web/upload/share-image-3-ed1d1e68c35835239e47e54ba232ab9e.jpg
KHAKI POINT,KR,https://khakipoint.kr/product/list.html?cate_no=156,clearance,10%|20%|30%|40%|50%|CLEARANCE|클리어런스,https://raw.githubusercontent.com/baejeongina-creator/sale-tracker-data/main/assets/khakipoint.png,https://khakipoint.kr/web/upload/share-image-1-c26dbbb2d4caa01dff311448409f3797.jpg
NOT YOUR ROSE,KR,https://notyourrose.com/product/list.html?cate_no=210,refurb,REFURB|리퍼브|B-GRADE|B GRADE|아울렛,,https://notyourrose.com/web/upload/share-image-1-7b993cf829cd792dd024d82d60e43835.jpg
WELLBEING EXPRESS,KR,https://wellbeingexpress.com/collections/all,,,,https://wellbeingexpress.com/wellbeingexpress_og.png
SUNBURN PROJECT,KR,https://sunburnproject.com/product/list.html?cate_no=124,,,,https://sunburnproject.com/web/upload/share-image-1-e0f6f38e43531153cdadd5720fb749c2.jpg
LEBANE,KR,https://www.lebane.kr/product/list.html?cate_no=164,clearance,CLEARANCE|REFURB|리퍼브|%|OFF|할인|SALE,,https://www.lebane.kr/og-image.png
MARGESHERWOOD,KR,https://margesherwood.com/product/list.html?cate_no=140,season_off,ARCHIVE SALE|SALE|%|OFF|할인,,https://ccolon.cafe24.com/web/upload/margesherwood_sns_image.jpg
SCULPTOR,KR,https://sculptorpage.com/category/season-off/1335/,season_off,,,https://img.echosting.cafe24.com/suio/info/img_error.png
NOTHING WRITTEN,KR,https://nothing-written.com/category/50-off/230/,season_off,,,https://nothing-written.com/web/product/big/202312/9230c003298f716fa2072b10c43a7db9.jpg
OPEN YY,KR,https://en.open-yy.com/,season_off,,,https://cafe24.poxo.com/ec01/theopenproduct/exMpWVRPvmnhTUkiTrF2w1irqu8tln0eC8WE7+LqbeVUyTpNZNFtHarpbHxcQzEaSC/45VjfHEGrkdNKiAROJg==/_/open-yy//main/_banner_wh.jpg
DUNST,KR,https://dunststudio.com/,season_off,,,https://lfcorp.cafe24.com/LINK_0119.jpg
BOHEMIAN SEOUL,KR,https://bohemseo.com/category/60-80/128/,season_off,,,https://bohemseo.com/web/upload/share-image-1-2137323aca18ff99b801954bb662df5a.png
SIYAZU,KR,https://siyazu.co.kr/,season_off,,,https://siyazu.co.kr/web/upload/og_image2.jpg
2000S ARCHIVE,KR,,,SALE|%|OFF|할인|세일,,
KHIHO,KR,,,SALE|%|OFF|할인|세일,,
SEASEE,KR,,,SALE|%|OFF|할인|세일,,
GABRIEL LEE,KR,,,SALE|%|OFF|할인|세일,,
DIAGNAL,KR,,,SALE|%|OFF|할인|세일,,
POLYSOOEM,KR,,,SALE|%|OFF|할인|세일,,
PESTO,KR,,,SALE|%|OFF|할인|세일,,
MANGOMANYPLEASE,KR,,,SALE|%|OFF|할인|세일,,
SIE,KR,,,SALE|%|OFF|할인|세일,,
LUCIR ZU,KR,,,SALE|%|OFF|할인|세일,,
RAIVE,KR,,,SALE|%|OFF|할인|세일,,
ORDES,KR,,,SALE|%|OFF|할인|세일,,
LOEIL,KR,,,SALE|%|OFF|할인|세일,,
LEVAR,KR,,,SALE|%|OFF|할인|세일,,
MA JOURNÉE,KR,,,SALE|%|OFF|할인|세일,,
HAAG,KR,,,SALE|%|OFF|할인|세일,,
ONSKA,KR,,,SALE|%|OFF|할인|세일,,
OVERDUE FLAIR,KR,,,SALE|%|OFF|할인|세일,,
THE BARNET,KR,,,SALE|%|OFF|할인|세일,,
MAISON MARAIS,KR,,,SALE|%|OFF|할인|세일,,
S/E/O,KR,,,UP TO|%|OFF|SALE|할인|세일,,
GLOWNY,KR,,,SEASON OFF|SALE|%|OFF|할인,,
,,,,,,
VERSO,KR,,,SALE|%|OFF|할인|세일,,
